student_name,question_number,question_text,answer,weighted_score,grade
Mahasiswa 1,1,1.	Jelaskan singkat tentang topik capstone project yang sedang kamu kerjakan. Apa masalah utama yang ingin kamu selesaikan dan apa tujuan dari proyek tersebut? (15 poin),Membuat sistem pendeteksi hujan otomatis untuk jemuran. Masalah utama yang ingin saya selesaikan adalah pakaian yang basah karena hujan. Tujuan proyek ini adalah agar pakaian yang dijemur tetap kering meskipun hujan.,3.0,B
Mahasiswa 1,2,"2.	Sebutkan dan jelaskan tiga teknologi, alat, atau cara yang kamu pakai dalam capstone project ini. Kenapa kamu memilih yang tersebut? (15 poin)","Arduino, sensor hujan, alarm sensor. Arduino dipilih karena mudah diprogram dan murah. Sensor hujan untuk mendeteksi hujan, dan alarm untuk memberi peringatan.",2.0,C
Mahasiswa 1,3,3. Jelaskan manfaat atau kegunaan hasil capstone projectmu bagi orang lain atau bidang yang kamu tekuni. (10 poin),"Membantu orang untuk menjemur pakaian tanpa khawatir hujan, menghemat waktu dan tenaga.",1.1,D
Mahasiswa 1,4,1.Ceritakan tahap-tahap pengerjaan capstone project dari awal sampai sekarang. Sebutkan juga hal penting atau target yang sudah kamu capai. (15 poin),"Merancang sistem dengan Arduino dan sensor hujan, sudah membuat prototipe yang berfungsi.",1.1,D
Mahasiswa 1,5,"3. Apakah ada perubahan pada rencana (ingin mengubah project) atau cara pengerjaan selama proyek berjalan? Jika iya, jelaskan apa yang berubah dan bagaimana pengaruhnya ke hasil proyek. (10 poin)",Menambahkan sensor tambahan untuk meningkatkan akurasi.,1.1,D
Mahasiswa 1,6,"1.	Tulislah Konsep kerangka proposal penelitian dari capstone project kamu yang mencakup:
1.	Latar belakang masalah
2.	Masalah penelitian (rumusan masalah)
3.	Tujuan penelitian
4.	Cara atau metode yang akan kamu gunakan 
(20 poin)",Latar belakang masalah adalah kesulitan menjemur pakaian saat hujan. Masalah penelitian: Bagaimana mendeteksi hujan secara otomatis. Tujuan: Membuat sistem otomatis yang bisa memantau hujan. Metode: Arduino dengan sensor hujan.,2.2,C
Mahasiswa 1,7,2.	Jelaskan bagaimana proposal penelitianmu bisa membantu mengembangkan ilmu pengetahuan atau teknologi di bidangmu. (10 poin),Penelitian ini dapat meningkatkan teknologi rumah tangga pintar untuk otomatisasi yang lebih baik.,1.1,D
Mahasiswa 1,1,1.	Jelaskan singkat tentang topik capstone project yang sedang kamu kerjakan. Apa masalah utama yang ingin kamu selesaikan dan apa tujuan dari proyek tersebut? (15 poin),Membuat sistem pendeteksi hujan otomatis untuk jemuran. Masalah utama yang ingin saya selesaikan adalah pakaian yang basah karena hujan. Tujuan proyek ini adalah agar pakaian yang dijemur tetap kering meskipun hujan.,3.0,B
Mahasiswa 1,2,"2.	Sebutkan dan jelaskan tiga teknologi, alat, atau cara yang kamu pakai dalam capstone project ini. Kenapa kamu memilih yang tersebut? (15 poin)","Arduino, sensor hujan, alarm sensor. Arduino dipilih karena mudah diprogram dan murah. Sensor hujan untuk mendeteksi hujan, dan alarm untuk memberi peringatan.",2.0,C
Mahasiswa 1,3,3. Jelaskan manfaat atau kegunaan hasil capstone projectmu bagi orang lain atau bidang yang kamu tekuni. (10 poin),"Membantu orang untuk menjemur pakaian tanpa khawatir hujan, menghemat waktu dan tenaga.",1.1,D
Mahasiswa 1,4,1.Ceritakan tahap-tahap pengerjaan capstone project dari awal sampai sekarang. Sebutkan juga hal penting atau target yang sudah kamu capai. (15 poin),"Merancang sistem dengan Arduino dan sensor hujan, sudah membuat prototipe yang berfungsi.",1.1,D
Mahasiswa 1,5,"3. Apakah ada perubahan pada rencana (ingin mengubah project) atau cara pengerjaan selama proyek berjalan? Jika iya, jelaskan apa yang berubah dan bagaimana pengaruhnya ke hasil proyek. (10 poin)",Menambahkan sensor tambahan untuk meningkatkan akurasi.,1.1,D
Mahasiswa 1,6,"1.	Tulislah Konsep kerangka proposal penelitian dari capstone project kamu yang mencakup:
1.	Latar belakang masalah
2.	Masalah penelitian (rumusan masalah)
3.	Tujuan penelitian
4.	Cara atau metode yang akan kamu gunakan 
(20 poin)",Latar belakang masalah adalah kesulitan menjemur pakaian saat hujan. Masalah penelitian: Bagaimana mendeteksi hujan secara otomatis. Tujuan: Membuat sistem otomatis yang bisa memantau hujan. Metode: Arduino dengan sensor hujan.,2.2,C
Mahasiswa 1,7,2.	Jelaskan bagaimana proposal penelitianmu bisa membantu mengembangkan ilmu pengetahuan atau teknologi di bidangmu. (10 poin),Penelitian ini dapat meningkatkan teknologi rumah tangga pintar untuk otomatisasi yang lebih baik.,1.1,D
Mahasiswa 2,1,1.	Jelaskan singkat tentang topik capstone project yang sedang kamu kerjakan. Apa masalah utama yang ingin kamu selesaikan dan apa tujuan dari proyek tersebut? (15 poin),Saya sedang mengembangkan sistem irigasi pintar untuk pertanian. Masalah utama yang ingin saya selesaikan adalah penggunaan air yang tidak efisien dalam irigasi. Tujuan proyek ini adalah menghemat air dengan menyiram tanaman hanya ketika diperlukan.,3.2,B
Mahasiswa 2,2,"2.	Sebutkan dan jelaskan tiga teknologi, alat, atau cara yang kamu pakai dalam capstone project ini. Kenapa kamu memilih yang tersebut? (15 poin)","Raspberry Pi, sensor kelembaban tanah, Wi-Fi. Raspberry Pi fleksibel dan dapat mengontrol perangkat keras lain dengan mudah. Sensor kelembaban untuk mendeteksi kebutuhan air. Wi-Fi untuk komunikasi data.",2.0,C
Mahasiswa 2,3,3. Jelaskan manfaat atau kegunaan hasil capstone projectmu bagi orang lain atau bidang yang kamu tekuni. (10 poin),Menghemat air dalam pertanian dan mengurangi pemborosan.,1.1,D
Mahasiswa 2,4,1.Ceritakan tahap-tahap pengerjaan capstone project dari awal sampai sekarang. Sebutkan juga hal penting atau target yang sudah kamu capai. (15 poin),"Membuat sistem otomatis menggunakan Raspberry Pi, saat ini sedang menguji sensor kelembaban.",1.1,D
Mahasiswa 2,5,"3. Apakah ada perubahan pada rencana (ingin mengubah project) atau cara pengerjaan selama proyek berjalan? Jika iya, jelaskan apa yang berubah dan bagaimana pengaruhnya ke hasil proyek. (10 poin)",Menambah aplikasi mobile untuk memantau irigasi secara real-time.,1.1,D
Mahasiswa 2,6,"1.	Tulislah Konsep kerangka proposal penelitian dari capstone project kamu yang mencakup:
1.	Latar belakang masalah
2.	Masalah penelitian (rumusan masalah)
3.	Tujuan penelitian
4.	Cara atau metode yang akan kamu gunakan 
(20 poin)",Latar belakang masalah adalah pemborosan air dalam pertanian. Masalah penelitian: Bagaimana mengotomatisasi irigasi untuk menghemat air. Tujuan: Merancang sistem irigasi otomatis berbasis sensor kelembaban tanah. Metode: Raspberry Pi dan sensor kelembaban tanah.,3.2,B
Mahasiswa 2,7,2.	Jelaskan bagaimana proposal penelitianmu bisa membantu mengembangkan ilmu pengetahuan atau teknologi di bidangmu. (10 poin),"Penelitian ini akan memberikan solusi untuk pertanian yang lebih efisien, mengurangi pemborosan air, dan membuka peluang bagi pengembangan sistem irigasi otomatis yang lebih canggih.",2.0,C
Mahasiswa 2,1,1.	Jelaskan singkat tentang topik capstone project yang sedang kamu kerjakan. Apa masalah utama yang ingin kamu selesaikan dan apa tujuan dari proyek tersebut? (15 poin),Saya sedang mengembangkan sistem irigasi pintar untuk pertanian. Masalah utama yang ingin saya selesaikan adalah penggunaan air yang tidak efisien dalam irigasi. Tujuan proyek ini adalah menghemat air dengan menyiram tanaman hanya ketika diperlukan.,3.2,B
Mahasiswa 2,2,"2.	Sebutkan dan jelaskan tiga teknologi, alat, atau cara yang kamu pakai dalam capstone project ini. Kenapa kamu memilih yang tersebut? (15 poin)","Raspberry Pi, sensor kelembaban tanah, Wi-Fi. Raspberry Pi fleksibel dan dapat mengontrol perangkat keras lain dengan mudah. Sensor kelembaban untuk mendeteksi kebutuhan air. Wi-Fi untuk komunikasi data.",2.0,C
Mahasiswa 2,3,3. Jelaskan manfaat atau kegunaan hasil capstone projectmu bagi orang lain atau bidang yang kamu tekuni. (10 poin),Menghemat air dalam pertanian dan mengurangi pemborosan.,1.1,D
Mahasiswa 2,4,1.Ceritakan tahap-tahap pengerjaan capstone project dari awal sampai sekarang. Sebutkan juga hal penting atau target yang sudah kamu capai. (15 poin),"Membuat sistem otomatis menggunakan Raspberry Pi, saat ini sedang menguji sensor kelembaban.",1.1,D
Mahasiswa 2,5,"3. Apakah ada perubahan pada rencana (ingin mengubah project) atau cara pengerjaan selama proyek berjalan? Jika iya, jelaskan apa yang berubah dan bagaimana pengaruhnya ke hasil proyek. (10 poin)",Menambah aplikasi mobile untuk memantau irigasi secara real-time.,1.1,D
Mahasiswa 2,6,"1.	Tulislah Konsep kerangka proposal penelitian dari capstone project kamu yang mencakup:
1.	Latar belakang masalah
2.	Masalah penelitian (rumusan masalah)
3.	Tujuan penelitian
4.	Cara atau metode yang akan kamu gunakan 
(20 poin)",Latar belakang masalah adalah pemborosan air dalam pertanian. Masalah penelitian: Bagaimana mengotomatisasi irigasi untuk menghemat air. Tujuan: Merancang sistem irigasi otomatis berbasis sensor kelembaban tanah. Metode: Raspberry Pi dan sensor kelembaban tanah.,3.2,B
Mahasiswa 2,7,2.	Jelaskan bagaimana proposal penelitianmu bisa membantu mengembangkan ilmu pengetahuan atau teknologi di bidangmu. (10 poin),"Penelitian ini akan memberikan solusi untuk pertanian yang lebih efisien, mengurangi pemborosan air, dan membuka peluang bagi pengembangan sistem irigasi otomatis yang lebih canggih.",2.0,C
Mahasiswa 3,1,1.	Jelaskan singkat tentang topik capstone project yang sedang kamu kerjakan. Apa masalah utama yang ingin kamu selesaikan dan apa tujuan dari proyek tersebut? (15 poin),"Capstone project saya adalah sistem monitoring kualitas udara dalam ruangan. Masalah yang ingin saya selesaikan adalah kualitas udara yang buruk di dalam ruangan, yang bisa memengaruhi kesehatan. Tujuannya adalah membuat sistem yang bisa memberi peringatan saat kualitas udara memburuk.",3.2,B
Mahasiswa 3,2,"2.	Sebutkan dan jelaskan tiga teknologi, alat, atau cara yang kamu pakai dalam capstone project ini. Kenapa kamu memilih yang tersebut? (15 poin)","Sensor kualitas udara, mikrokontroler, aplikasi smartphone. Sensor mudah diintegrasikan, mikrokontroler fleksibel untuk pengolahan data, dan aplikasi mempermudah pengguna memantau kualitas udara.",2.7,C
Mahasiswa 3,3,3. Jelaskan manfaat atau kegunaan hasil capstone projectmu bagi orang lain atau bidang yang kamu tekuni. (10 poin),Membantu orang menjaga kesehatan dengan memantau kualitas udara dalam ruangan.,1.1,D
Mahasiswa 3,4,1.Ceritakan tahap-tahap pengerjaan capstone project dari awal sampai sekarang. Sebutkan juga hal penting atau target yang sudah kamu capai. (15 poin),"Merakit prototipe dengan sensor kualitas udara, menghubungkan ke aplikasi smartphone.",1.1,D
Mahasiswa 3,5,"3. Apakah ada perubahan pada rencana (ingin mengubah project) atau cara pengerjaan selama proyek berjalan? Jika iya, jelaskan apa yang berubah dan bagaimana pengaruhnya ke hasil proyek. (10 poin)",Menambah fitur notifikasi real-time untuk memberi peringatan jika kualitas udara menurun.,1.1,D
Mahasiswa 3,6,"1.	Tulislah Konsep kerangka proposal penelitian dari capstone project kamu yang mencakup:
1.	Latar belakang masalah
2.	Masalah penelitian (rumusan masalah)
3.	Tujuan penelitian
4.	Cara atau metode yang akan kamu gunakan 
(20 poin)",Latar belakang masalah adalah buruknya kualitas udara dalam ruangan. Masalah penelitian: Bagaimana memonitor kualitas udara dengan akurat. Tujuan penelitian: Merancang sistem yang dapat mendeteksi polutan dan memberi peringatan. Metode: Sensor kualitas udara dan aplikasi berbasis smartphone.,3.2,B
Mahasiswa 3,7,2.	Jelaskan bagaimana proposal penelitianmu bisa membantu mengembangkan ilmu pengetahuan atau teknologi di bidangmu. (10 poin),"Penelitian ini dapat membantu mengembangkan teknologi pemantauan kualitas udara yang lebih canggih, membuka jalan untuk sistem otomatis dalam pengelolaan udara dalam ruangan.",1.8,D
Mahasiswa 3,1,1.	Jelaskan singkat tentang topik capstone project yang sedang kamu kerjakan. Apa masalah utama yang ingin kamu selesaikan dan apa tujuan dari proyek tersebut? (15 poin),"Capstone project saya adalah sistem monitoring kualitas udara dalam ruangan. Masalah yang ingin saya selesaikan adalah kualitas udara yang buruk di dalam ruangan, yang bisa memengaruhi kesehatan. Tujuannya adalah membuat sistem yang bisa memberi peringatan saat kualitas udara memburuk.",3.2,B
Mahasiswa 3,2,"2.	Sebutkan dan jelaskan tiga teknologi, alat, atau cara yang kamu pakai dalam capstone project ini. Kenapa kamu memilih yang tersebut? (15 poin)","Sensor kualitas udara, mikrokontroler, aplikasi smartphone. Sensor mudah diintegrasikan, mikrokontroler fleksibel untuk pengolahan data, dan aplikasi mempermudah pengguna memantau kualitas udara.",2.7,C
Mahasiswa 3,3,3. Jelaskan manfaat atau kegunaan hasil capstone projectmu bagi orang lain atau bidang yang kamu tekuni. (10 poin),Membantu orang menjaga kesehatan dengan memantau kualitas udara dalam ruangan.,1.1,D
Mahasiswa 3,4,1.Ceritakan tahap-tahap pengerjaan capstone project dari awal sampai sekarang. Sebutkan juga hal penting atau target yang sudah kamu capai. (15 poin),"Merakit prototipe dengan sensor kualitas udara, menghubungkan ke aplikasi smartphone.",1.1,D
Mahasiswa 3,5,"3. Apakah ada perubahan pada rencana (ingin mengubah project) atau cara pengerjaan selama proyek berjalan? Jika iya, jelaskan apa yang berubah dan bagaimana pengaruhnya ke hasil proyek. (10 poin)",Menambah fitur notifikasi real-time untuk memberi peringatan jika kualitas udara menurun.,1.1,D
Mahasiswa 3,6,"1.	Tulislah Konsep kerangka proposal penelitian dari capstone project kamu yang mencakup:
1.	Latar belakang masalah
2.	Masalah penelitian (rumusan masalah)
3.	Tujuan penelitian
4.	Cara atau metode yang akan kamu gunakan 
(20 poin)",Latar belakang masalah adalah buruknya kualitas udara dalam ruangan. Masalah penelitian: Bagaimana memonitor kualitas udara dengan akurat. Tujuan penelitian: Merancang sistem yang dapat mendeteksi polutan dan memberi peringatan. Metode: Sensor kualitas udara dan aplikasi berbasis smartphone.,3.2,B
Mahasiswa 3,7,2.	Jelaskan bagaimana proposal penelitianmu bisa membantu mengembangkan ilmu pengetahuan atau teknologi di bidangmu. (10 poin),"Penelitian ini dapat membantu mengembangkan teknologi pemantauan kualitas udara yang lebih canggih, membuka jalan untuk sistem otomatis dalam pengelolaan udara dalam ruangan.",1.8,D
Mahasiswa 5,1,1.	Jelaskan singkat tentang topik capstone project yang sedang kamu kerjakan. Apa masalah utama yang ingin kamu selesaikan dan apa tujuan dari proyek tersebut? (15 poin),Membuat aplikasi pengiriman makanan dengan pilihan sehat. Tujuan proyek ini adalah membuat makanan sehat lebih mudah diakses.,2.0,C
Mahasiswa 5,2,"2.	Sebutkan dan jelaskan tiga teknologi, alat, atau cara yang kamu pakai dalam capstone project ini. Kenapa kamu memilih yang tersebut? (15 poin)","Flutter untuk aplikasi, Firebase untuk backend, Google Maps API untuk pelacakan lokasi. Flutter untuk pengembangan aplikasi mobile, Firebase untuk manajemen database, Google Maps untuk lokasi.",2.0,C
Mahasiswa 5,3,3. Jelaskan manfaat atau kegunaan hasil capstone projectmu bagi orang lain atau bidang yang kamu tekuni. (10 poin),Membantu orang membuat pilihan makan sehat dengan mudah dan mengantarnya langsung.,1.1,D
Mahasiswa 5,4,1.Ceritakan tahap-tahap pengerjaan capstone project dari awal sampai sekarang. Sebutkan juga hal penting atau target yang sudah kamu capai. (15 poin),Membuat aplikasi dengan Flutter dan menghubungkan ke Firebase. Saat ini sedang mengembangkan sistem pembayaran.,1.1,D
Mahasiswa 5,5,"3. Apakah ada perubahan pada rencana (ingin mengubah project) atau cara pengerjaan selama proyek berjalan? Jika iya, jelaskan apa yang berubah dan bagaimana pengaruhnya ke hasil proyek. (10 poin)",Menambah fitur pelacakan makanan sehat dan pilihan lebih banyak.,1.0,D
Mahasiswa 5,6,"1.	Tulislah Konsep kerangka proposal penelitian dari capstone project kamu yang mencakup:
1.	Latar belakang masalah
2.	Masalah penelitian (rumusan masalah)
3.	Tujuan penelitian
4.	Cara atau metode yang akan kamu gunakan 
(20 poin)",Latar belakang masalah: Kebiasaan makan tidak sehat. Masalah penelitian: Bagaimana menghubungkan orang dengan pilihan makanan sehat. Tujuan: Membuat aplikasi yang menghubungkan pengguna dengan makanan sehat. Metode: Flutter dan Firebase.,2.0,C
Mahasiswa 5,7,2.	Jelaskan bagaimana proposal penelitianmu bisa membantu mengembangkan ilmu pengetahuan atau teknologi di bidangmu. (10 poin),Penelitian ini dapat membantu perkembangan aplikasi kesehatan dan pemantauan gizi berbasis teknologi.,1.1,D
Mahasiswa 5,1,1.	Jelaskan singkat tentang topik capstone project yang sedang kamu kerjakan. Apa masalah utama yang ingin kamu selesaikan dan apa tujuan dari proyek tersebut? (15 poin),Membuat aplikasi pengiriman makanan dengan pilihan sehat. Tujuan proyek ini adalah membuat makanan sehat lebih mudah diakses.,2.0,C
Mahasiswa 5,2,"2.	Sebutkan dan jelaskan tiga teknologi, alat, atau cara yang kamu pakai dalam capstone project ini. Kenapa kamu memilih yang tersebut? (15 poin)","Flutter untuk aplikasi, Firebase untuk backend, Google Maps API untuk pelacakan lokasi. Flutter untuk pengembangan aplikasi mobile, Firebase untuk manajemen database, Google Maps untuk lokasi.",2.0,C
Mahasiswa 5,3,3. Jelaskan manfaat atau kegunaan hasil capstone projectmu bagi orang lain atau bidang yang kamu tekuni. (10 poin),Membantu orang membuat pilihan makan sehat dengan mudah dan mengantarnya langsung.,1.1,D
Mahasiswa 5,4,1.Ceritakan tahap-tahap pengerjaan capstone project dari awal sampai sekarang. Sebutkan juga hal penting atau target yang sudah kamu capai. (15 poin),Membuat aplikasi dengan Flutter dan menghubungkan ke Firebase. Saat ini sedang mengembangkan sistem pembayaran.,1.1,D
Mahasiswa 5,5,"3. Apakah ada perubahan pada rencana (ingin mengubah project) atau cara pengerjaan selama proyek berjalan? Jika iya, jelaskan apa yang berubah dan bagaimana pengaruhnya ke hasil proyek. (10 poin)",Menambah fitur pelacakan makanan sehat dan pilihan lebih banyak.,1.0,D
Mahasiswa 5,6,"1.	Tulislah Konsep kerangka proposal penelitian dari capstone project kamu yang mencakup:
1.	Latar belakang masalah
2.	Masalah penelitian (rumusan masalah)
3.	Tujuan penelitian
4.	Cara atau metode yang akan kamu gunakan 
(20 poin)",Latar belakang masalah: Kebiasaan makan tidak sehat. Masalah penelitian: Bagaimana menghubungkan orang dengan pilihan makanan sehat. Tujuan: Membuat aplikasi yang menghubungkan pengguna dengan makanan sehat. Metode: Flutter dan Firebase.,2.0,C
Mahasiswa 5,7,2.	Jelaskan bagaimana proposal penelitianmu bisa membantu mengembangkan ilmu pengetahuan atau teknologi di bidangmu. (10 poin),Penelitian ini dapat membantu perkembangan aplikasi kesehatan dan pemantauan gizi berbasis teknologi.,1.1,D
Mahasiswa 8,1,1.	Jelaskan singkat tentang topik capstone project yang sedang kamu kerjakan. Apa masalah utama yang ingin kamu selesaikan dan apa tujuan dari proyek tersebut? (15 poin),Membuat aplikasi pelacakan olahraga dan kalori yang terbakar. Tujuan proyek ini adalah membantu orang memantau kesehatan mereka.,2.0,C
Mahasiswa 8,2,"2.	Sebutkan dan jelaskan tiga teknologi, alat, atau cara yang kamu pakai dalam capstone project ini. Kenapa kamu memilih yang tersebut? (15 poin)","Arduino, sensor detak jantung, aplikasi mobile. Arduino dipilih karena murah dan mudah diprogram. Sensor detak jantung untuk mendeteksi aktivitas fisik.",1.8,D
Mahasiswa 8,3,3. Jelaskan manfaat atau kegunaan hasil capstone projectmu bagi orang lain atau bidang yang kamu tekuni. (10 poin),Membantu orang memantau kesehatan selama berolahraga dan mengetahui kalori yang terbakar.,1.2,D
Mahasiswa 8,4,1.Ceritakan tahap-tahap pengerjaan capstone project dari awal sampai sekarang. Sebutkan juga hal penting atau target yang sudah kamu capai. (15 poin),Merancang alat pengukur detak jantung dengan Arduino dan menghubungkannya ke aplikasi mobile.,1.1,D
Mahasiswa 8,5,"3. Apakah ada perubahan pada rencana (ingin mengubah project) atau cara pengerjaan selama proyek berjalan? Jika iya, jelaskan apa yang berubah dan bagaimana pengaruhnya ke hasil proyek. (10 poin)",Menambah fitur untuk memberikan rekomendasi olahraga berdasarkan data detak jantung.,1.1,D
Mahasiswa 8,6,"1.	Tulislah Konsep kerangka proposal penelitian dari capstone project kamu yang mencakup:
1.	Latar belakang masalah
2.	Masalah penelitian (rumusan masalah)
3.	Tujuan penelitian
4.	Cara atau metode yang akan kamu gunakan 
(20 poin)",Latar belakang masalah: Kurangnya pemantauan kesehatan selama olahraga. Masalah penelitian: Bagaimana memantau kesehatan pengguna secara otomatis. Tujuan: Membuat aplikasi yang memantau detak jantung dan kalori yang terbakar. Metode: Arduino dengan sensor detak jantung dan aplikasi mobile.,3.2,B
Mahasiswa 8,7,2.	Jelaskan bagaimana proposal penelitianmu bisa membantu mengembangkan ilmu pengetahuan atau teknologi di bidangmu. (10 poin),Penelitian ini dapat membuka peluang pengembangan aplikasi olahraga yang lebih pintar.,1.1,D
Mahasiswa 8,1,1.	Jelaskan singkat tentang topik capstone project yang sedang kamu kerjakan. Apa masalah utama yang ingin kamu selesaikan dan apa tujuan dari proyek tersebut? (15 poin),Membuat aplikasi pelacakan olahraga dan kalori yang terbakar. Tujuan proyek ini adalah membantu orang memantau kesehatan mereka.,2.0,C
Mahasiswa 8,2,"2.	Sebutkan dan jelaskan tiga teknologi, alat, atau cara yang kamu pakai dalam capstone project ini. Kenapa kamu memilih yang tersebut? (15 poin)","Arduino, sensor detak jantung, aplikasi mobile. Arduino dipilih karena murah dan mudah diprogram. Sensor detak jantung untuk mendeteksi aktivitas fisik.",1.8,D
Mahasiswa 8,3,3. Jelaskan manfaat atau kegunaan hasil capstone projectmu bagi orang lain atau bidang yang kamu tekuni. (10 poin),Membantu orang memantau kesehatan selama berolahraga dan mengetahui kalori yang terbakar.,1.2,D
Mahasiswa 8,4,1.Ceritakan tahap-tahap pengerjaan capstone project dari awal sampai sekarang. Sebutkan juga hal penting atau target yang sudah kamu capai. (15 poin),Merancang alat pengukur detak jantung dengan Arduino dan menghubungkannya ke aplikasi mobile.,1.1,D
Mahasiswa 8,5,"3. Apakah ada perubahan pada rencana (ingin mengubah project) atau cara pengerjaan selama proyek berjalan? Jika iya, jelaskan apa yang berubah dan bagaimana pengaruhnya ke hasil proyek. (10 poin)",Menambah fitur untuk memberikan rekomendasi olahraga berdasarkan data detak jantung.,1.1,D
Mahasiswa 8,6,"1.	Tulislah Konsep kerangka proposal penelitian dari capstone project kamu yang mencakup:
1.	Latar belakang masalah
2.	Masalah penelitian (rumusan masalah)
3.	Tujuan penelitian
4.	Cara atau metode yang akan kamu gunakan 
(20 poin)",Latar belakang masalah: Kurangnya pemantauan kesehatan selama olahraga. Masalah penelitian: Bagaimana memantau kesehatan pengguna secara otomatis. Tujuan: Membuat aplikasi yang memantau detak jantung dan kalori yang terbakar. Metode: Arduino dengan sensor detak jantung dan aplikasi mobile.,3.2,B
Mahasiswa 8,7,2.	Jelaskan bagaimana proposal penelitianmu bisa membantu mengembangkan ilmu pengetahuan atau teknologi di bidangmu. (10 poin),Penelitian ini dapat membuka peluang pengembangan aplikasi olahraga yang lebih pintar.,1.1,D
Mahasiswa 12,1,1.	Jelaskan singkat tentang topik capstone project yang sedang kamu kerjakan. Apa masalah utama yang ingin kamu selesaikan dan apa tujuan dari proyek tersebut? (15 poin),Saya sedang membuat aplikasi berbasis web untuk memonitor kualitas air. Masalah yang ingin saya selesaikan adalah kurangnya pemantauan kualitas air yang memadai. Tujuan proyek ini adalah memberi informasi kualitas air secara real-time.,3.2,B
Mahasiswa 12,2,"2.	Sebutkan dan jelaskan tiga teknologi, alat, atau cara yang kamu pakai dalam capstone project ini. Kenapa kamu memilih yang tersebut? (15 poin)","Menggunakan Raspberry Pi untuk kontrol sistem, sensor kualitas air untuk deteksi polutan, dan Wi-Fi untuk menghubungkan data ke cloud. Raspberry Pi fleksibel dan dapat diprogram, sensor memadai untuk mendeteksi kualitas air, dan Wi-Fi memungkinkan pengiriman data.",3.0,B
Mahasiswa 12,3,3. Jelaskan manfaat atau kegunaan hasil capstone projectmu bagi orang lain atau bidang yang kamu tekuni. (10 poin),Membantu masyarakat dalam memantau kualitas air di sekitar mereka dan meningkatkan kesadaran akan kebersihan air.,1.8,D
Mahasiswa 12,4,1.Ceritakan tahap-tahap pengerjaan capstone project dari awal sampai sekarang. Sebutkan juga hal penting atau target yang sudah kamu capai. (15 poin),"Merakit sistem monitoring dengan Raspberry Pi, sensor, dan menghubungkannya dengan cloud. Saat ini, sistem berfungsi dengan baik dan sudah mengirimkan data ke cloud.",1.8,D
Mahasiswa 12,5,"3. Apakah ada perubahan pada rencana (ingin mengubah project) atau cara pengerjaan selama proyek berjalan? Jika iya, jelaskan apa yang berubah dan bagaimana pengaruhnya ke hasil proyek. (10 poin)",Menambah fitur notifikasi yang mengingatkan pengguna jika kualitas air menurun.,1.1,D
Mahasiswa 12,6,"1.	Tulislah Konsep kerangka proposal penelitian dari capstone project kamu yang mencakup:
1.	Latar belakang masalah
2.	Masalah penelitian (rumusan masalah)
3.	Tujuan penelitian
4.	Cara atau metode yang akan kamu gunakan 
(20 poin)",Latar belakang masalah: Kurangnya pemantauan kualitas air. Masalah penelitian: Bagaimana mendeteksi kualitas air dengan sistem otomatis. Tujuan penelitian: Membangun sistem yang bisa memantau kualitas air secara real-time. Metode: Raspberry Pi dengan sensor kualitas air dan cloud storage.,3.1,B
